date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:59	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202019%2012:29:00%20GMT	https://previews.aspirity.com/robots.txt		(from )
17:58:59	28644/28644	---M-Z	200	added ('OK')	text/html	etag:%226fe4-58834c997b20e-gzip%22	https://previews.aspirity.com/spirit/	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/index.html	(from )
17:59:00	180105/180105	---M-Z	200	added ('OK')	text/css	etag:%222bf89-55a12b1c67784-gzip%22	https://previews.aspirity.com/spirit/assets/css/color.css	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/css/color.css	(from https://previews.aspirity.com/spirit/)
17:59:00	86891/86891	---MCZ	200	added ('OK')	text/css	etag:W/%221536b-5550841777380%22	https://cdn.materialdesignicons.com/2.0.46/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Avinash/cdn.materialdesignicons.com/2.0.46/css/materialdesignicons.min.css	(from https://previews.aspirity.com/spirit/)
17:59:01	137889/137889	---M-Z	200	added ('OK')	application/javascript	etag:%225e048ddd-afbf%22	https://mc.yandex.ru/metrika/watch.js	C:/My%20Web%20Sites/Avinash/mc.yandex.ru/metrika/watch.js	(from https://previews.aspirity.com/spirit/)
17:59:03	193721/193721	---M--	200	added ('OK')	image/png	etag:%222f4b9-55a12b1d38738%22	https://previews.aspirity.com/spirit/assets/img/img_avatar.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_avatar.png	(from https://previews.aspirity.com/spirit/)
17:59:03	759/759	---M--	200	added ('OK')	image/png	etag:%222f7-55a12b1e88624%22	https://previews.aspirity.com/spirit/assets/img/img_btn_icon.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_btn_icon.png	(from https://previews.aspirity.com/spirit/)
17:59:04	137328/137328	---M--	200	added ('OK')	image/png	etag:%2221870-55a12b1ec1061%22	https://previews.aspirity.com/spirit/assets/img/img_project_1_mono.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_project_1_mono.png	(from https://previews.aspirity.com/spirit/)
17:59:04	201587/201587	---M--	200	added ('OK')	image/png	etag:%2231373-55a12b1efaa3e%22	https://previews.aspirity.com/spirit/assets/img/img_project_2_mono.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_project_2_mono.png	(from https://previews.aspirity.com/spirit/)
17:59:04	2120274/2120274	---M--	200	added ('OK')	image/jpeg	etag:%22205a52-55a12b1e2d90a%22	https://previews.aspirity.com/spirit/assets/img/img_bg_header.jpg	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_bg_header.jpg	(from https://previews.aspirity.com/spirit/)
17:59:06	13949/13949	---M-Z	200	added ('OK')	text/html	etag:%22367d-58834c98ca5f9-gzip%22	https://previews.aspirity.com/spirit/blog.html	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/blog.html	(from https://previews.aspirity.com/spirit/)
17:59:08	300627/300627	---M--	200	added ('OK')	image/png	etag:%2249653-55a12b1f3a1da%22	https://previews.aspirity.com/spirit/assets/img/img_project_3_mono.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_project_3_mono.png	(from https://previews.aspirity.com/spirit/)
17:59:08	256861/256861	---M--	200	added ('OK')	image/png	etag:%223eb5d-55a12b1e76ce5%22	https://previews.aspirity.com/spirit/assets/img/img_blog_2.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_blog_2.png	(from https://previews.aspirity.com/spirit/)
17:59:09	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-55a12b1f5f398-gzip%22	https://previews.aspirity.com/spirit/assets/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/js/jquery-2.2.4.min.js	(from https://previews.aspirity.com/spirit/)
17:59:09	149488/149488	---M--	200	added ('OK')	image/png	etag:%22247f0-55a12b1e866e4%22	https://previews.aspirity.com/spirit/assets/img/img_blog_3.png	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/img/img_blog_3.png	(from https://previews.aspirity.com/spirit/)
17:59:10	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:%224a59-55a12b1f72c16-gzip%22	https://previews.aspirity.com/spirit/assets/js/popper.min.js	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/js/popper.min.js	(from https://previews.aspirity.com/spirit/)
17:59:10	51143/51143	---M-Z	200	added ('OK')	application/javascript	etag:%22c7c7-55a12b1f547b8-gzip%22	https://previews.aspirity.com/spirit/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/Avinash/previews.aspirity.com/spirit/assets/js/bootstrap.min.js	(from https://previews.aspirity.com/spirit/)
